org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
MIRANTIS,pmlc_cinder/manifests/install.pp,0,0,27,0,1,0,1,8,10,0,0,0
MIRANTIS,pmlc_cinder/manifests/service.pp,0,0,61,1,1,0,4,28,12,0,0,0
MIRANTIS,pmlc_cinder/manifests/init.pp,0,0,53,0,0,3,0,3,13,0,0,0
MIRANTIS,pmlc_cinder/tests/init.pp,1,0,12,0,0,1,0,0,11,0,0,0
MIRANTIS,pmlc_keystone/manifests/config.pp,0,3,54,0,1,0,6,7,12,0,1,0
MIRANTIS,pmlc_keystone/manifests/params.pp,0,0,30,0,0,0,0,16,1,0,0,0
MIRANTIS,pmlc_keystone/manifests/install.pp,0,0,24,0,1,0,1,5,10,0,0,0
MIRANTIS,pmlc_keystone/manifests/service.pp,0,2,49,1,1,0,4,4,12,0,0,0
MIRANTIS,pmlc_keystone/manifests/init.pp,0,0,89,0,0,4,0,3,14,0,0,0
MIRANTIS,pmlc_keystone/tests/init.pp,1,0,12,0,0,1,0,0,11,0,0,0
MIRANTIS,pmlc_neutron/manifests/server.pp,0,0,22,0,0,3,0,3,12,0,0,0
MIRANTIS,pmlc_neutron/manifests/params.pp,0,0,67,0,0,0,2,24,10,0,0,0
MIRANTIS,pmlc_neutron/manifests/client.pp,0,0,22,0,0,3,0,3,12,0,0,0
MIRANTIS,pmlc_neutron/manifests/init.pp,0,0,109,0,0,2,2,2,13,0,0,0
MIRANTIS,pmlc_neutron/manifests/server/config.pp,0,1,427,0,42,0,209,173,36,0,0,0
MIRANTIS,pmlc_neutron/manifests/server/install.pp,0,0,42,0,2,0,2,13,10,0,0,0
MIRANTIS,pmlc_neutron/manifests/server/service.pp,0,0,109,1,1,0,8,72,12,0,0,0
MIRANTIS,pmlc_neutron/manifests/client/config.pp,0,1,328,0,31,0,155,131,28,0,0,0
MIRANTIS,pmlc_neutron/manifests/client/install.pp,0,0,41,0,2,0,2,12,10,0,0,0
MIRANTIS,pmlc_neutron/manifests/client/service.pp,0,0,88,1,1,0,8,51,12,0,0,0
MIRANTIS,pmlc_neutron/tests/init.pp,1,0,12,0,0,1,0,0,11,0,0,0
MIRANTIS,pmlc_nova/manifests/compute.pp,0,0,24,0,0,3,0,3,13,0,0,0
MIRANTIS,pmlc_nova/manifests/controller.pp,0,0,24,0,0,3,0,3,13,0,0,0
MIRANTIS,pmlc_nova/manifests/params.pp,0,0,25,0,0,0,0,17,1,0,0,0
MIRANTIS,pmlc_nova/manifests/init.pp,0,0,80,0,0,0,4,8,12,0,0,0
MIRANTIS,pmlc_nova/manifests/compute/config.pp,0,1,149,0,13,0,64,53,20,0,0,0
MIRANTIS,pmlc_nova/manifests/compute/install.pp,0,0,26,0,1,0,1,7,10,0,0,0
MIRANTIS,pmlc_nova/manifests/compute/service.pp,0,0,40,1,1,0,4,13,12,0,0,0
MIRANTIS,pmlc_nova/manifests/controller/config.pp,0,1,138,0,12,0,60,48,22,0,0,0
MIRANTIS,pmlc_nova/manifests/controller/install.pp,0,0,30,0,1,0,1,11,10,0,0,0
MIRANTIS,pmlc_nova/manifests/controller/service.pp,0,0,46,1,1,0,4,19,12,0,0,0
MIRANTIS,pmlc_nova/tests/init.pp,1,0,12,0,0,1,0,0,11,0,0,0
MIRANTIS,profiles/manifests/redis.pp,0,0,18,0,0,2,0,0,14,0,0,0
MIRANTIS,profiles/manifests/deploy.pp,0,0,29,0,0,0,4,3,17,0,0,0
MIRANTIS,profiles/manifests/lldp.pp,0,0,20,0,1,0,1,2,13,0,0,0
MIRANTIS,profiles/manifests/hiera.pp,0,0,54,0,1,0,10,23,19,0,0,0
MIRANTIS,profiles/manifests/install.pp,0,1,27,0,1,0,4,6,15,0,1,0
MIRANTIS,profiles/manifests/init.pp,0,0,42,1,0,1,1,5,37,0,0,0
MIRANTIS,profiles/manifests/ssh/server.pp,0,0,28,0,0,0,2,5,16,0,0,0
MIRANTIS,profiles/manifests/firewall/pre.pp,0,0,115,1,1,0,56,67,22,0,0,0
MIRANTIS,profiles/manifests/firewall/deploy.pp,0,0,35,0,0,0,4,11,12,0,0,0
MIRANTIS,profiles/manifests/firewall/puppet.pp,0,0,36,0,0,0,5,12,12,0,0,0
MIRANTIS,profiles/manifests/firewall/gitlab.pp,0,0,36,0,0,0,5,12,12,0,0,0
MIRANTIS,profiles/manifests/firewall/purge.pp,0,0,17,0,0,0,1,1,10,0,0,0
MIRANTIS,profiles/manifests/firewall/post.pp,0,0,19,0,0,0,3,4,11,0,0,0
MIRANTIS,profiles/manifests/firewall/default.pp,0,0,28,0,0,0,0,6,12,0,0,0
MIRANTIS,profiles/manifests/firewall/foreman.pp,0,0,52,0,0,0,15,24,12,0,0,0
MIRANTIS,profiles/manifests/firewall/ldap.pp,0,0,38,0,0,0,5,13,12,0,0,0
MIRANTIS,profiles/manifests/yum/default.pp,0,0,73,0,0,1,32,14,13,0,0,0
MIRANTIS,profiles/manifests/yum/foreman.pp,0,0,73,0,0,1,32,14,13,0,0,0
MIRANTIS,profiles/manifests/common/users.pp,0,0,20,0,0,3,0,2,12,0,0,0
MIRANTIS,profiles/manifests/common/sudo.pp,0,0,19,0,0,0,0,2,9,0,0,0
MIRANTIS,profiles/manifests/common/packages.pp,0,0,24,0,1,0,1,3,13,0,0,0
MIRANTIS,profiles/manifests/common/users/shells.pp,0,0,22,0,1,0,1,1,14,0,0,0
MIRANTIS,profiles/manifests/common/users/install.pp,0,0,26,0,0,0,0,4,14,0,0,1
MIRANTIS,profiles/manifests/openstack/keystone.pp,0,0,35,0,0,0,12,13,12,0,0,0
MIRANTIS,profiles/manifests/openstack/cinder.pp,0,0,31,0,0,0,8,9,12,0,0,0
MIRANTIS,profiles/manifests/openstack/nova/compute.pp,0,0,30,0,0,0,6,7,13,0,0,0
MIRANTIS,profiles/manifests/openstack/nova/controller.pp,0,0,32,0,0,0,8,9,13,0,0,0
MIRANTIS,profiles/manifests/openstack/neutron/server.pp,0,0,42,0,0,0,18,18,13,0,0,0
MIRANTIS,profiles/manifests/openstack/neutron/client.pp,0,0,40,0,0,0,16,16,13,0,0,0
MIRANTIS,profiles/manifests/foreman/server.pp,0,0,49,0,0,0,24,26,17,0,0,0
MIRANTIS,profiles/manifests/foreman/proxy.pp,0,5,94,2,3,0,58,62,19,0,3,0
MIRANTIS,profiles/manifests/puppet/db.pp,0,0,36,0,0,0,10,11,18,0,0,0
MIRANTIS,profiles/manifests/puppet/ca.pp,0,5,96,0,2,0,36,29,23,0,1,0
MIRANTIS,profiles/manifests/puppet/agent.pp,0,2,46,0,1,0,19,8,14,0,1,0
MIRANTIS,profiles/manifests/puppet/master.pp,0,5,96,0,2,0,34,32,27,0,1,0
MIRANTIS,profiles/manifests/puppet/bootstrap_ca.pp,0,5,93,0,2,0,36,28,23,0,1,0
MIRANTIS,profiles/manifests/ftp/server.pp,0,0,34,0,0,0,11,11,14,0,0,0
MIRANTIS,profiles/manifests/ntp/client.pp,0,0,25,0,0,0,4,5,13,0,0,0
MIRANTIS,profiles/tests/init.pp,1,0,12,0,0,1,0,0,11,0,0,0
MIRANTIS,puppet-deployapp/manifests/config.pp,0,3,62,0,1,0,26,7,10,0,2,0
MIRANTIS,puppet-deployapp/manifests/params.pp,0,0,50,0,0,0,0,7,38,0,0,0
MIRANTIS,puppet-deployapp/manifests/install.pp,0,1,41,0,0,5,4,9,11,0,0,0
MIRANTIS,puppet-deployapp/manifests/init.pp,0,0,88,0,0,2,6,7,61,0,0,0
MIRANTIS,puppet-deployapp/manifests/install/ruby.pp,0,0,29,0,2,1,3,6,12,0,0,0
MIRANTIS,puppet-deployapp/manifests/install/user.pp,0,0,27,0,1,0,4,3,12,0,0,0
MIRANTIS,puppet-deployapp/manifests/install/files.pp,0,15,114,2,10,0,56,37,14,0,5,0
MIRANTIS,puppet-deployapp/manifests/install/apache.pp,0,0,25,1,0,1,1,4,11,0,0,0
MIRANTIS,puppet-deployapp/manifests/install/yum.pp,1,0,36,0,1,0,3,8,11,0,0,0
MIRANTIS,puppet-deployapp/tests/init.pp,1,0,12,0,0,1,0,0,11,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/proxydns.pp,0,0,31,0,0,0,7,5,3,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/config.pp,0,7,106,2,5,5,36,31,4,0,2,0
MIRANTIS,puppet-foreman_proxy/manifests/settings_file.pp,0,9,66,1,1,0,8,15,29,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin.pp,0,0,18,0,1,0,1,5,2,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/params.pp,5,2,232,0,1,2,1,97,38,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/puppetca.pp,0,2,12,1,1,0,5,2,1,0,1,0
MIRANTIS,puppet-foreman_proxy/manifests/install.pp,0,0,31,2,2,0,8,4,1,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/tftp.pp,0,1,35,3,1,0,11,9,2,0,1,0
MIRANTIS,puppet-foreman_proxy/manifests/proxydhcp.pp,0,0,41,0,0,0,9,12,3,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/service.pp,0,0,11,1,1,0,4,2,1,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/init.pp,1,6,422,0,3,0,0,17,264,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/register.pp,0,0,15,0,1,0,6,0,1,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/tftp/sync_file.pp,0,3,14,0,1,0,2,3,2,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/tftp/copy_file.pp,0,4,13,0,1,0,2,2,3,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/salt.pp,0,1,63,0,0,0,4,3,28,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/chef.pp,0,3,54,0,1,0,5,5,29,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/openscap.pp,0,1,33,0,0,0,3,3,15,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/abrt.pp,0,2,67,0,1,0,5,5,35,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/pulp.pp,0,1,49,0,1,0,9,7,21,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/pulp/params.pp,1,0,9,0,0,0,0,2,1,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/openscap/params.pp,0,0,8,0,0,0,0,3,1,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/salt/params.pp,1,0,14,0,0,0,0,7,1,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/chef/params.pp,1,0,12,0,0,0,0,3,1,0,0,0
MIRANTIS,puppet-foreman_proxy/manifests/plugin/abrt/params.pp,0,0,15,0,0,0,0,3,1,0,0,0
MIRANTIS,puppet-manifests/modules/devopslib/manifests/downloads_cleaner.pp,0,2,40,1,1,0,10,12,11,0,1,0
MIRANTIS,puppet-manifests/modules/devopslib/manifests/ssl_certificate.pp,0,2,47,0,2,0,11,16,26,0,0,0
MIRANTIS,puppet-manifests/modules/ssh/manifests/banner.pp,0,2,18,0,0,0,4,4,8,0,1,0
MIRANTIS,puppet-manifests/modules/ssh/manifests/params.pp,0,0,49,0,0,0,0,16,14,0,0,0
MIRANTIS,puppet-manifests/modules/ssh/manifests/known_host.pp,0,2,29,0,0,0,3,6,10,3,0,0
MIRANTIS,puppet-manifests/modules/ssh/manifests/authorized_keys.pp,0,0,13,0,1,0,2,2,4,0,0,1
MIRANTIS,puppet-manifests/modules/ssh/manifests/sshd.pp,0,1,52,1,3,2,14,9,10,0,1,0
MIRANTIS,puppet-manifests/modules/ssh/manifests/ldap.pp,0,8,90,0,6,3,23,36,14,0,3,0
MIRANTIS,puppet-manifests/modules/lodgeit/manifests/database.pp,0,0,9,0,0,3,0,0,4,0,0,0
MIRANTIS,puppet-manifests/modules/lodgeit/manifests/web.pp,0,2,87,2,4,1,24,31,19,0,1,0
MIRANTIS,puppet-manifests/modules/jenkins/manifests/swarm_slave.pp,0,6,108,3,8,0,33,27,19,0,2,0
MIRANTIS,puppet-manifests/modules/jenkins/manifests/slave.pp,0,0,35,1,2,0,10,10,8,0,0,1
MIRANTIS,puppet-manifests/modules/jenkins/manifests/params.pp,0,0,44,0,0,0,0,11,4,0,0,0
MIRANTIS,puppet-manifests/modules/jenkins/manifests/master.pp,3,24,438,11,16,1,121,184,63,0,8,0
MIRANTIS,puppet-manifests/modules/obs_server/manifests/nginx.pp,0,16,87,6,6,0,39,41,13,0,5,0
MIRANTIS,puppet-manifests/modules/obs_server/manifests/init.pp,0,4,84,10,9,2,32,32,15,0,1,0
MIRANTIS,puppet-manifests/modules/obs_server/manifests/folders.pp,0,7,47,4,5,0,24,26,5,0,1,0
MIRANTIS,puppet-manifests/modules/obs_server/manifests/repo.pp,0,0,33,1,0,0,11,6,8,0,0,0
MIRANTIS,puppet-manifests/modules/obs_server/manifests/mysql.pp,0,2,57,4,1,0,20,28,11,0,1,0
MIRANTIS,puppet-manifests/modules/venv/manifests/exec.pp,0,0,33,0,0,0,5,6,13,0,0,0
MIRANTIS,puppet-manifests/modules/venv/manifests/venv.pp,0,1,55,2,0,0,10,9,12,0,0,0
MIRANTIS,puppet-manifests/modules/venv/manifests/init.pp,1,1,21,0,0,0,5,5,9,0,0,0
MIRANTIS,puppet-manifests/modules/landing_page/manifests/params.pp,1,0,52,0,0,0,0,26,6,0,0,0
MIRANTIS,puppet-manifests/modules/landing_page/manifests/updater.pp,0,2,34,1,3,0,6,6,8,0,1,0
MIRANTIS,puppet-manifests/modules/landing_page/manifests/init.pp,3,11,294,6,9,1,123,91,41,0,3,0
MIRANTIS,puppet-manifests/modules/landing_page/manifests/docs.pp,0,0,51,1,1,1,10,11,15,0,0,0
MIRANTIS,puppet-manifests/modules/system/manifests/init.pp,0,8,115,5,6,0,40,43,16,0,4,0
MIRANTIS,puppet-manifests/modules/pxetool/manifests/smart_proxy.pp,0,1,10,0,0,0,0,1,4,0,0,0
MIRANTIS,puppet-manifests/modules/pxetool/manifests/master.pp,1,20,229,6,11,0,95,77,29,0,6,0
MIRANTIS,puppet-manifests/modules/docker_registry/manifests/init.pp,3,31,344,16,15,0,134,139,97,0,9,0
MIRANTIS,puppet-manifests/modules/tpi/manifests/vmware_lab.pp,0,2,109,6,5,0,40,45,10,0,1,0
MIRANTIS,puppet-manifests/modules/tpi/manifests/localhome.pp,0,2,29,1,2,0,10,11,7,0,1,0
MIRANTIS,puppet-manifests/modules/tpi/manifests/nfs_client.pp,0,11,81,6,7,0,39,44,9,0,6,0
MIRANTIS,puppet-manifests/modules/fuel_stats/manifests/db.pp,0,0,40,0,0,0,6,8,13,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_stats/manifests/params.pp,1,0,27,0,0,0,0,8,9,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_stats/manifests/analytic.pp,3,21,290,8,12,1,103,112,41,0,5,0
MIRANTIS,puppet-manifests/modules/fuel_stats/manifests/collector.pp,1,30,247,7,8,1,90,92,37,0,7,0
MIRANTIS,puppet-manifests/modules/fuel_stats/manifests/tests.pp,0,1,33,1,1,0,5,6,9,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_stats/manifests/migration.pp,0,6,90,2,3,0,27,39,13,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_stats/manifests/dev.pp,1,9,109,4,2,0,30,33,16,0,3,0
MIRANTIS,puppet-manifests/modules/zuul/manifests/init.pp,6,24,255,11,11,0,61,96,54,0,5,0
MIRANTIS,puppet-manifests/modules/transmission/manifests/params.pp,0,0,16,0,0,0,0,3,9,0,0,0
MIRANTIS,puppet-manifests/modules/transmission/manifests/daemon.pp,2,6,247,3,4,1,29,51,85,0,1,0
MIRANTIS,puppet-manifests/modules/django/manifests/application.pp,0,13,132,2,6,0,40,34,28,0,1,0
MIRANTIS,puppet-manifests/modules/gerrit/manifests/hideci.pp,0,4,36,2,3,0,7,11,11,0,0,0
MIRANTIS,puppet-manifests/modules/gerrit/manifests/cron.pp,0,0,25,0,2,0,10,13,4,0,0,0
MIRANTIS,puppet-manifests/modules/gerrit/manifests/remotes.pp,0,3,29,2,6,0,9,9,8,0,0,0
MIRANTIS,puppet-manifests/modules/gerrit/manifests/init.pp,4,68,616,25,28,1,205,254,145,0,17,0
MIRANTIS,puppet-manifests/modules/gerrit/manifests/mysql.pp,0,0,34,1,0,0,6,10,11,0,0,0
MIRANTIS,puppet-manifests/modules/uwsgi/manifests/params.pp,0,0,39,0,0,0,0,10,5,0,0,0
MIRANTIS,puppet-manifests/modules/uwsgi/manifests/application.pp,0,3,68,1,2,0,10,11,23,0,1,0
MIRANTIS,puppet-manifests/modules/uwsgi/manifests/init.pp,0,0,33,1,2,0,7,4,9,0,0,0
MIRANTIS,puppet-manifests/modules/log_storage/manifests/params.pp,0,0,15,0,0,0,0,0,6,0,0,0
MIRANTIS,puppet-manifests/modules/log_storage/manifests/logstashforwarder.pp,0,6,33,1,0,0,6,8,9,0,1,0
MIRANTIS,puppet-manifests/modules/log_storage/manifests/logstash.pp,0,16,164,6,1,0,48,43,27,0,6,0
MIRANTIS,puppet-manifests/modules/log_storage/manifests/storage/nginx.pp,3,12,181,0,3,0,74,73,27,0,5,0
MIRANTIS,puppet-manifests/modules/log_storage/manifests/storage/zabbix.pp,0,0,19,1,1,0,2,4,7,0,0,0
MIRANTIS,puppet-manifests/modules/zabbix/manifests/item.pp,0,5,48,2,1,2,9,9,10,0,1,0
MIRANTIS,puppet-manifests/modules/zabbix/manifests/server.pp,0,10,278,6,4,1,54,54,96,0,1,0
MIRANTIS,puppet-manifests/modules/zabbix/manifests/params.pp,0,0,227,0,0,0,1,100,20,0,0,0
MIRANTIS,puppet-manifests/modules/zabbix/manifests/agent.pp,0,5,94,2,3,3,15,16,34,0,2,0
MIRANTIS,puppet-manifests/modules/zabbix/manifests/frontend.pp,1,12,212,5,8,4,71,59,33,0,4,0
MIRANTIS,puppet-manifests/modules/zabbix/manifests/proxy.pp,0,13,245,4,4,1,41,51,94,0,2,0
MIRANTIS,puppet-manifests/modules/zabbix/manifests/server/alertscript.pp,0,5,32,0,1,0,6,8,6,0,1,0
MIRANTIS,puppet-manifests/modules/zabbix/manifests/agent/service.pp,0,0,22,0,1,1,5,3,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/nginx.pp,0,2,44,0,2,0,18,18,6,0,1,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/devops_tools.pp,0,0,23,0,0,0,0,3,8,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/znc.pp,0,0,30,1,1,1,7,6,8,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/mongodb.pp,0,0,52,0,0,0,12,22,11,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/gerrit.pp,0,0,70,1,0,0,30,34,10,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/mongo_common.pp,0,0,24,0,0,0,0,8,7,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/zuul.pp,1,2,35,0,1,0,6,16,11,0,1,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/web.pp,0,0,23,0,0,0,0,4,8,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/lab_cz.pp,0,9,92,3,7,0,42,55,7,0,6,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/glusterfs.pp,1,5,146,6,5,1,48,40,32,0,3,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/common.pp,0,9,202,5,6,0,42,94,35,0,4,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/nailgun_demo.pp,3,16,290,16,14,0,148,144,30,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/racktables.pp,0,0,25,1,0,1,4,6,7,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/jenkins/slave.pp,2,40,1287,36,35,0,249,391,140,0,15,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/jenkins/master.pp,0,0,77,2,3,0,19,28,19,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/jenkins/slave/custom_scripts.pp,0,3,69,3,3,0,13,18,12,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/jenkins/slave/infra.pp,0,0,11,0,0,0,0,1,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/ns.pp,0,9,114,7,5,0,37,60,14,0,4,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/tracker.pp,0,0,8,0,0,0,0,2,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/mailman.pp,0,0,18,0,0,0,3,9,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/errata.pp,0,0,8,0,0,0,0,2,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/docs.pp,6,11,284,6,13,0,123,98,29,0,6,1
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/storage.pp,0,0,29,0,1,0,8,13,7,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/blackduck/server.pp,0,3,127,6,6,0,45,48,14,0,1,1
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/blackduck/client.pp,3,9,109,4,3,0,23,54,28,0,3,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/errata/database.pp,0,0,10,0,0,0,0,3,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/errata/web.pp,0,0,11,0,0,0,0,4,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/zabbix/server.pp,0,1,78,3,4,0,20,34,19,0,1,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/zabbix/proxy.pp,0,0,8,0,0,0,0,2,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/perestroika/publisher.pp,0,3,65,2,2,0,12,20,14,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/roles/perestroika/builder.pp,0,1,50,2,3,0,4,12,14,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/web_share.pp,0,5,84,3,6,0,30,22,18,0,3,1
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/mirror_rubygems.pp,1,7,106,4,9,0,44,49,14,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/seed.pp,0,4,83,1,4,0,33,29,18,0,1,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/lodgeit.pp,1,7,118,2,7,0,53,52,15,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/firewall.pp,0,0,64,2,1,0,17,29,14,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/partnershare.pp,0,4,81,3,3,0,28,45,13,0,1,1
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/inventory.pp,2,0,25,0,0,0,0,20,19,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/updates.pp,0,2,74,2,2,0,31,32,15,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/mirror.pp,0,5,151,5,4,1,54,45,26,0,1,1
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/plugins.pp,0,4,76,3,4,1,24,20,16,0,0,1
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/mirror_npm.pp,1,7,141,5,11,0,56,59,15,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/mirror_pypi.pp,1,4,118,4,7,0,39,44,18,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/partnerappliance.pp,0,4,81,3,4,0,23,22,18,0,2,1
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/static.pp,0,4,74,1,3,0,25,22,16,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/apps/monitoring/mysql/server.pp,0,3,22,1,1,0,7,9,8,0,1,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/devops_tools/lpupdatebug.pp,0,7,90,4,3,0,23,38,24,0,3,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/devops_tools/lpbugmanage.pp,2,7,72,3,2,0,16,37,22,0,2,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/tpi/server.pp,0,0,37,0,0,0,16,18,4,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/tpi/puppetmaster.pp,0,0,18,0,0,0,1,2,7,0,0,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/tpi/lab.pp,0,7,92,4,3,0,33,48,10,0,4,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/gerrit/replication.pp,2,5,113,1,1,0,20,22,49,0,1,0
MIRANTIS,puppet-manifests/modules/fuel_project/manifests/gerrit/replication_slave.pp,0,3,51,3,4,0,20,23,7,0,1,1
